song,artist,streams
Snooze,SZA,63
Calvin's Joint (feat. Declan Miers),Mac Ayres,45
UNPREDICTABLE,DESTIN CONRAD & Kiana Ledé,47
Girl Like Me (feat. H.E.R.),Jazmine Sullivan,23
Shameless,Avenoir,29
Surprise Me,Mahalia,27
Grateful,Mahalia,19
Melting,Kali Uchis,24
Insecure,Jazmine Sullivan & Bryson Tiller,18
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,19
The Most Beautiful Thing,Bruno Major,45
Practice,Drake,44
Easily,Bruno Major,46
Misunderstood,Lucky Daye,24
Temperature Rising,Tory Lanez,28
Doctor My Eyes,Khamari,52
Nobody But You,Sonder & Jorja Smith,59
Peak (Fed Up),RAAHiiM,92
Her,Brandon,39
BRB (feat. Pink Sweat$),Mahalia,30
The Motion,Drake,48
Unholy Matrimony,GIVĒON,24
Remind Me,GIVĒON,47
I Get Lonely,Drake,47
Jungle,H.E.R.,60
Body,Summer Walker,17
Me U & Hennessy (feat. Lil Wayne),DeJ Loaf,28
Fire & Desire,Drake,56
I Want You Around,Snoh Aalegra,48
Wednesday Night Interlude (feat. PARTYNEXTDOOR),Drake,49
Deep,Marco McKinnis,61
How I Feel,Marco McKinnis,64
Gang Over Luv,Brent Faiyaz,61
LOVE AGAIN,Daniel Caesar & Brandy,78
OPEN UP,Daniel Caesar,49
Missin Out,Brent Faiyaz,52
Good 4 U,Ant Clemons,33
Get You (feat. Kali Uchis),Daniel Caesar,109
Best Part (feat. H.E.R.),Daniel Caesar,81
24/7 (feat. Ella Mai),Meek Mill,28
It's You,Ali Gatie,39
To the Moon,Phora,38
Could've Been (feat. Bryson Tiller),H.E.R.,69
i love you, Billie Eilish,51
bitches broken hearts,Billie Eilish,27
Marvins Room,Drake,46
Remember Me,UMI,77
Every Kind of Way,H.E.R.,97
Focus,H.E.R.,65
The Take (feat. Chris Brown),Tory Lanez,9
What If I Told You That I Love You,Ali Gatie,3
Wherever You Would Call Me,Zaini,11
I Wish you Roses,Kali Uchis,35
Anyway,Poe Leos,71
Those Eyes,New West,47
In a Good Way,Faye Webster,25
Close to You (feat. T-Pain),Dreezy,33
Until Morning,James Vickery,20
Like It,Summer Walker & 6LACK,15
